database_id,hpo_ids_list
OMIM:232600,"['HP:0003621', 'HP:0003596', 'HP:0011463']"
OMIM:232800,"['HP:0011463', 'HP:0003621']"
OMIM:233300,['HP:0003621']
OMIM:233450,['HP:0011462']
OMIM:233600,['HP:0003623']
OMIM:233650,['HP:0003593']
OMIM:233690,['HP:0003621']
OMIM:233700,['HP:0003621']
OMIM:233710,"['HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:233910,"['HP:0003593', 'HP:0003623']"
OMIM:234200,"['HP:0003593', 'HP:0011463', 'HP:0011462', 'HP:0003621']"
OMIM:234500,['HP:0011463']
OMIM:234580,['HP:0003593']
OMIM:234810,"['HP:0003621', 'HP:0003596', 'HP:0011462']"
OMIM:235555,['HP:0003623']
OMIM:235700,['HP:0003577']
OMIM:236200,"['HP:0011463', 'HP:0003623', 'HP:0003621']"
OMIM:236270,"['HP:0003593', 'HP:0003623']"
OMIM:236600,['HP:0034198']
OMIM:236670,['HP:0003577']
OMIM:236750,['HP:0003577']
OMIM:236792,['HP:0003593']
OMIM:236800,['HP:0003623']
OMIM:237300,['HP:0003623']
OMIM:237310,['HP:0003623']
OMIM:237900,['HP:0003623']
OMIM:238600,['HP:0011462']
OMIM:238700,['HP:0003593']
OMIM:238970,"['HP:0003593', 'HP:0003621']"
OMIM:239000,['HP:0003593']
OMIM:240300,"['HP:0003593', 'HP:0011463', 'HP:0003623', 'HP:0003621']"
OMIM:240800,['HP:0003623']
OMIM:240900,"['HP:0003577', 'HP:0003593']"
OMIM:241200,['HP:0003623']
OMIM:241410,['HP:0003577']
OMIM:241530,['HP:0003593']
OMIM:241600,"['HP:0003621', 'HP:0025708']"
OMIM:241800,['HP:0003577']
OMIM:241850,['HP:0003577']
OMIM:242100,['HP:0003577']
OMIM:242150,['HP:0003577']
OMIM:242300,['HP:0003577']
OMIM:242500,['HP:0003577']
OMIM:242700,['HP:0003623']
OMIM:242840,"['HP:0003593', 'HP:0003577']"
OMIM:242900,['HP:0003577']
OMIM:243000,['HP:0003577']
OMIM:243060,['HP:0011462']
OMIM:243150,['HP:0003577']
OMIM:243605,['HP:0003577']
OMIM:243700,['HP:0003593']
OMIM:243800,['HP:0034197']
OMIM:244450,['HP:0003577']
OMIM:245050,['HP:0003623']
OMIM:245200,"['HP:0003593', 'HP:0011463', 'HP:0011462']"
OMIM:245348,['HP:0003593']
OMIM:245349,['HP:0003577']
OMIM:245400,"['HP:0003593', 'HP:0003623']"
OMIM:245480,['HP:0003593']
OMIM:245660,['HP:0003623']
OMIM:245900,['HP:0003581']
OMIM:246200,"['HP:0003623', 'HP:0003577']"
OMIM:246650,['HP:0011462']
OMIM:246700,['HP:0003593']
OMIM:246900,['HP:0003593']
OMIM:247100,"['HP:0003577', 'HP:0003593', 'HP:0011463']"
OMIM:248000,['HP:0003593']
